EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
13-Nov-1997,0.037,100%,0.016,21-Nov-1997,27-Nov-1997
14-May-1998,0.04,100%,0.017,22-May-1998,02-Jun-1998
13-Nov-1998,0.055,100%,0.024,23-Nov-1998,04-Dec-1998
07-May-1999,0.06,100%,0.026,13-May-1999,02-Jun-1999
17-Nov-1999,0.06,100%,0.026,23-Nov-1999,01-Dec-1999
01-Jun-2000,0.063,100%,0.027,07-Jun-2000,16-Jun-2000
21-Nov-2000,0.063,100%,0.027,27-Nov-2000,05-Dec-2000
01-Jun-2001,0.063,100%,0.027,07-Jun-2001,15-Jun-2001
20-Nov-2001,0.063,100%,0.027,26-Nov-2001,05-Dec-2001
31-May-2002,0.063,100%,0.027,06-Jun-2002,13-Jun-2002
13-Nov-2002,0.063,100%,0.027,19-Nov-2002,26-Nov-2002
28-May-2003,0.063,100%,0.027,03-Jun-2003,10-Jun-2003
17-Nov-2003,0.063,100%,0.027,21-Nov-2003,27-Nov-2003
11-Jun-2004,0.063,100%,0.027,18-Jun-2004,25-Jun-2004
01-Nov-2004,0.068,100%,0.029,08-Nov-2004,10-Nov-2004
07-Jun-2005,0.07,100%,0.03,14-Jun-2005,21-Jun-2005
07-Nov-2005,0.072,100%,0.031,11-Nov-2005,17-Nov-2005
09-Jun-2006,0.077,100%,0.033,16-Jun-2006,22-Jun-2006
01-Nov-2006,0.078,100%,0.033,08-Nov-2006,13-Nov-2006
04-May-2007,0.079,100%,0.034,10-May-2007,16-May-2007
02-Nov-2007,0.08,100%,0.034,09-Nov-2007,19-Nov-2007
29-Apr-2008,0.081,100%,0.035,05-May-2008,19-May-2008
10-Nov-2008,0.085,100%,0.036,14-Nov-2008,28-Nov-2008
19-May-2009,0.085,100%,0.036,25-May-2009,10-Jun-2009
17-Nov-2009,0.085,100%,0.036,23-Nov-2009,07-Dec-2009
11-May-2010,0.085,100%,0.036,17-May-2010,31-May-2010
16-Nov-2010,0.085,100%,0.036,22-Nov-2010,07-Dec-2010
05-Apr-2011,0.085,100%,0.036,12-Apr-2011,29-Apr-2011
15-May-2012,0.085,100%,0.036,21-May-2012,06-Jun-2012
20-Nov-2012,0.085,100%,0.036,26-Nov-2012,12-Dec-2012
17-May-2013,0.085,100%,0.036,23-May-2013,11-Jun-2013
21-Nov-2013,0.085,100%,0.036,27-Nov-2013,12-Dec-2013
26-May-2014,0.085,100%,0.036,28-May-2014,13-Jun-2014
20-Nov-2014,0.085,100%,0.036,24-Nov-2014,12-Dec-2014
22-May-2015,0.085,100%,0.036,26-May-2015,12-Jun-2015
20-Nov-2015,0.085,100%,0.036,24-Nov-2015,11-Dec-2015
27-May-2016,0.085,100%,0.036,30-May-2016,14-Jun-2016
24-Nov-2016,0.085,100%,0.036,25-Nov-2016,12-Dec-2016
26-May-2017,0.085,100%,0.036,29-May-2017,13-Jun-2017
